timestamp_ms,gpu_util,mem_util,mem_used,mem_total
0,0,0,540868608,42949672960
10,0,0,540868608,42949672960
20,0,0,540868608,42949672960
30,0,0,540868608,42949672960
40,0,0,540868608,42949672960
50,0,0,540868608,42949672960
60,0,0,540868608,42949672960
70,0,0,540868608,42949672960
80,0,0,540868608,42949672960
90,0,0,540868608,42949672960
100,0,0,540868608,42949672960
110,0,0,540868608,42949672960
120,0,0,540868608,42949672960
130,0,0,540868608,42949672960
140,0,0,540868608,42949672960
150,0,0,540868608,42949672960
160,0,0,540868608,42949672960
170,0,0,540868608,42949672960
180,0,0,540868608,42949672960
190,0,0,540868608,42949672960
200,0,0,540868608,42949672960
210,0,0,540868608,42949672960
220,0,0,540868608,42949672960
230,0,0,540868608,42949672960
240,0,0,540868608,42949672960
250,0,0,540868608,42949672960
260,0,0,540868608,42949672960
270,0,0,540868608,42949672960
280,0,0,540868608,42949672960
290,0,0,540868608,42949672960
300,0,0,540868608,42949672960
310,0,0,540868608,42949672960
320,0,0,540868608,42949672960
330,0,0,540868608,42949672960
340,0,0,540868608,42949672960
350,0,0,540868608,42949672960
360,0,0,540868608,42949672960
370,0,0,540868608,42949672960
380,0,0,540868608,42949672960
390,0,0,540868608,42949672960
400,0,0,540868608,42949672960
410,0,0,540868608,42949672960
420,0,0,540868608,42949672960
430,0,0,540868608,42949672960
440,0,0,540868608,42949672960
450,0,0,540868608,42949672960
460,0,0,540868608,42949672960
470,0,0,540868608,42949672960
480,0,0,540868608,42949672960
490,0,0,540868608,42949672960
500,0,0,540868608,42949672960
510,0,0,540868608,42949672960
520,0,0,540868608,42949672960
530,0,0,540868608,42949672960
540,0,0,540868608,42949672960
550,0,0,540868608,42949672960
560,0,0,540868608,42949672960
570,0,0,540868608,42949672960
580,0,0,540868608,42949672960
590,0,0,540868608,42949672960
600,0,0,540868608,42949672960
610,0,0,540868608,42949672960
620,0,0,540868608,42949672960
630,0,0,540868608,42949672960
640,0,0,540868608,42949672960
650,0,0,540868608,42949672960
660,0,0,540868608,42949672960
670,0,0,540868608,42949672960
680,0,0,540868608,42949672960
690,0,0,540868608,42949672960
700,0,0,540868608,42949672960
710,0,0,540868608,42949672960
720,0,0,540868608,42949672960
730,0,0,540868608,42949672960
740,0,0,540868608,42949672960
750,0,0,540868608,42949672960
760,0,0,540868608,42949672960
770,0,0,540868608,42949672960
780,0,0,540868608,42949672960
790,0,0,540868608,42949672960
800,0,0,540868608,42949672960
810,0,0,540868608,42949672960
820,0,0,540868608,42949672960
830,0,0,540868608,42949672960
840,0,0,540868608,42949672960
850,0,0,540868608,42949672960
860,0,0,540868608,42949672960
870,0,0,540868608,42949672960
880,0,0,540868608,42949672960
890,0,0,540868608,42949672960
900,0,0,540868608,42949672960
910,0,0,540868608,42949672960
920,0,0,540868608,42949672960
930,0,0,540868608,42949672960
940,0,0,540868608,42949672960
950,0,0,540868608,42949672960
960,0,0,540868608,42949672960
970,0,0,540868608,42949672960
980,0,0,540868608,42949672960
990,0,0,540868608,42949672960
1000,0,0,540868608,42949672960
1010,0,0,540868608,42949672960
1020,0,0,540868608,42949672960
1030,0,0,540868608,42949672960
1040,0,0,540868608,42949672960
1050,0,0,540868608,42949672960
1060,0,0,540868608,42949672960
1070,0,0,540868608,42949672960
1080,0,0,540868608,42949672960
1090,0,0,540868608,42949672960
1100,0,0,540868608,42949672960
1110,0,0,540868608,42949672960
1120,0,0,540868608,42949672960
1130,0,0,540868608,42949672960
1140,0,0,540868608,42949672960
1150,0,0,540868608,42949672960
1160,0,0,540868608,42949672960
1170,0,0,540868608,42949672960
1180,0,0,540868608,42949672960
1190,0,0,540868608,42949672960
1200,0,0,540868608,42949672960
1210,0,0,540868608,42949672960
1220,0,0,540868608,42949672960
1230,0,0,540868608,42949672960
1240,0,0,540868608,42949672960
1250,0,0,540868608,42949672960
1260,0,0,540868608,42949672960
1270,0,0,540868608,42949672960
1280,0,0,540868608,42949672960
1290,0,0,540868608,42949672960
1300,0,0,540868608,42949672960
1310,0,0,540868608,42949672960
1320,0,0,540868608,42949672960
1330,0,0,540868608,42949672960
1340,0,0,540868608,42949672960
1350,0,0,540868608,42949672960
1360,0,0,540868608,42949672960
1370,0,0,540868608,42949672960
1380,0,0,540868608,42949672960
1390,0,0,540868608,42949672960
1400,0,0,540868608,42949672960
1410,0,0,540868608,42949672960
1420,0,0,540868608,42949672960
